2026-03-31 22:09:16 DEBUG    [faiss.loader] Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2026-03-31 22:09:16 INFO     [faiss.loader] Loading faiss.
2026-03-31 22:09:16 INFO     [faiss.loader] Successfully loaded faiss.
2026-03-31 22:09:22 DEBUG    [datasets] PyTorch version 2.2.2 available.
2026-03-31 22:09:25 DEBUG    [openai._base_client] Request options: {'method': 'get', 'url': '/models', 'post_parser': <function SyncAPIClient._request_api_list.<locals>._parser at 0x1150553a0>, 'json_data': None}
2026-03-31 22:09:25 DEBUG    [openai._base_client] Sending HTTP Request: GET http://127.0.0.1:8001/v1/models
2026-03-31 22:09:25 DEBUG    [httpcore.connection] connect_tcp.started host='127.0.0.1' port=8001 local_address=None timeout=5.0 socket_options=None
2026-03-31 22:09:25 DEBUG    [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1b1d6ba90>
2026-03-31 22:09:25 DEBUG    [httpcore.http11] send_request_headers.started request=<Request [b'GET']>
2026-03-31 22:09:25 DEBUG    [httpcore.http11] send_request_headers.complete
2026-03-31 22:09:25 DEBUG    [httpcore.http11] send_request_body.started request=<Request [b'GET']>
2026-03-31 22:09:25 DEBUG    [httpcore.http11] send_request_body.complete
2026-03-31 22:09:25 DEBUG    [httpcore.http11] receive_response_headers.started request=<Request [b'GET']>
2026-03-31 22:09:25 DEBUG    [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Tue, 31 Mar 2026 14:09:24 GMT'), (b'server', b'uvicorn'), (b'content-length', b'97'), (b'content-type', b'application/json'), (b'openai-processing-ms', b'0'), (b'x-request-id', b'026c8adafbfa45c191af20ce7fd8ce17')])
2026-03-31 22:09:25 INFO     [httpx] HTTP Request: GET http://127.0.0.1:8001/v1/models "HTTP/1.1 200 OK"
2026-03-31 22:09:25 DEBUG    [httpcore.http11] receive_response_body.started request=<Request [b'GET']>
2026-03-31 22:09:25 DEBUG    [httpcore.http11] receive_response_body.complete
2026-03-31 22:09:25 DEBUG    [httpcore.http11] response_closed.started
2026-03-31 22:09:25 DEBUG    [httpcore.http11] response_closed.complete
2026-03-31 22:09:25 DEBUG    [openai._base_client] HTTP Response: GET http://127.0.0.1:8001/v1/models "200 OK" Headers({'date': 'Tue, 31 Mar 2026 14:09:24 GMT', 'server': 'uvicorn', 'content-length': '97', 'content-type': 'application/json', 'openai-processing-ms': '0', 'x-request-id': '026c8adafbfa45c191af20ce7fd8ce17'})
2026-03-31 22:09:25 DEBUG    [openai._base_client] request_id: 026c8adafbfa45c191af20ce7fd8ce17
2026-03-31 22:09:25 INFO     [autogluon.assistant.llm.openai_chat] Using OpenAI model: gpt-4-local for session: multi_turn_chat_agent_20260331220923
2026-03-31 22:09:25 INFO     [autogluon.assistant.tools_registry.indexing] Loading indices from disk
2026-03-31 22:09:25 WARNING  [autogluon.assistant.tools_registry.indexing] No index exists at /Users/macbookpro/AI4ML/external/autogluon-assistant/src/autogluon/assistant/tools_registry/indices/BAAI_bge-base-en-v1.5
2026-03-31 22:09:25 INFO     [autogluon.assistant.agents.retriever_agent] Building tutorial indices...
2026-03-31 22:09:25 INFO     [autogluon.assistant.tools_registry.indexing] Building indices for tools: ['FlagEmbedding', 'machine learning', 'wav2vec2', 'qwen3', 'autogluon.tabular', 'autogluon.multimodal', 'autogluon.timeseries']
2026-03-31 22:09:25 INFO     [autogluon.assistant.tools_registry.indexing] Processing tool: FlagEmbedding
2026-03-31 22:09:25 INFO     [autogluon.assistant.tools_registry.indexing] Loading embedding model: BAAI/bge-base-en-v1.5
2026-03-31 22:09:26 INFO     [autogluon.assistant.tools_registry.indexing] Embedding model loaded successfully
2026-03-31 22:09:26 INFO     [autogluon.assistant.tools_registry.indexing] Found 31 summaries for FlagEmbedding tutorials
2026-03-31 22:09:26 INFO     [autogluon.assistant.tools_registry.indexing] Generating embeddings for FlagEmbedding tutorials
2026-03-31 22:10:20 INFO     [autogluon.assistant.tools_registry.indexing] Built index for FlagEmbedding tutorials with 31 vectors
2026-03-31 22:10:20 INFO     [autogluon.assistant.tools_registry.indexing] Successfully built tutorials index for FlagEmbedding
2026-03-31 22:10:20 INFO     [autogluon.assistant.tools_registry.indexing] Found 31 summaries for FlagEmbedding condensed_tutorials
